"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"473","Trucks will not be allowed into Chelyabinsk during heavy snowfall","negative"
"474","Chelyabinsk ended competition for the position of Deputy sitimenedzhera","negative"
"475","chelyabintsev injured after snowfall","negative"
"476","metallurgist scheduled flew to Prague for the final match","negative"
"477","a rating of the most cited blogs Chelyabinsk region","negative"
"478","woman with a year-old son found dead in a ditch","negative"
"479","Chelyabinsk Tube reinsert point","negative"
"480","Chelyabinsk otmenenytramvaynyh route","negative"
"481","Chinese worker killed in Troitsk during renovations","negative"
"482","Chelyabinsk start flooding the streets after a snowfall","negative"
"483","in Chelyabinsk","negative"
"484"," an exhibition of wedding fashion - Ages","negative"
"485","unidentified persons fired streetlights Zlatoust","negative"
"486","Chelyabinsk resident was given a suspended sentence for a den of prostitutes","negative"
"487","photo from subscribers of Miassa","negative"
"488","electricity in the Chelyabinsk region fully restored","negative"
"489","Chelyabinsk unknown restored statue of Lenin","negative"
"490","tomorrow in the Chelyabinsk region is expected to rain","negative"
"491","traffic on the highway m remains difficult","negative"
"492","workers were poisoned at a company in Chelyabinsk","negative"
"493","metallurgist for the first time in the series led to the Prague Lion","negative"
"494","metallurgist for the first time in the series led to the Prague Lion n <U+FFFD>","negative"
"495","hunters meteorite fragments found new car Chelyabinsk","negative"
"496","per night on regional routes in snowdrift okazalismashin","negative"
"497","movement of trams on routes Lenin District and in the direction of the station paralyzed","negative"
"498","Boris Dubrovsky mode introduced in the region on high alert because of the weather","negative"
"499","Chelyabinsk moved through the snowy city snowboarding and snowmobiling","negative"
"500","miner school student appeared in Zlatoust institutions","positive"
"501","during a snowfall in a SATCOM collided two marshrutkipostradali","negative"
"502","Boris Dubrovsky introduced in the region on high alert because of the weather","negative"
"503","boleetysyach yuzhnouraltsev remain without electricity after power cut schedule snowfall","negative"
"504","Chelyabinsk Airport will work in normal mode in the second half of the day","negative"
"505","FSB arrested arsonists threw Molotov cocktails prosecutor","negative"
"506","years ago","negative"
"507","Hydrometeorological Chelyabinsk predicts rise in temperature to","negative"
"508","Chelyabinsk because of bad weather canceled classes in schools","negative"
"509","Regional Court upheld the judgment of the driver Miassa huddled at the transition school","negative"
"510","teenager from Miassa face up roller with the frank old girl","negative"
"511","Kholmanskikh instructed the heads of the Urals regions to attract investors in the housing","negative"
"512","really","negative"
"513","in Emanzhelinsk old boy got an electric shock from the outlet","negative"
"514","the number of remaining without light settlements increased to","positive"
"515","Chelyabinsk Airport closed because of deteriorating weather conditions","negative"
"516","Schoolgirl invented air purifier of cabbage juice","negative"
"517","Other cities tepleesmotrim broadcast from cities in the region d","negative"
"518","Hospital chief physician Kunashak interrogate the case of fraud","negative"
"519","restriction of movement on the track m extended to utraaprelya","negative"
"520","electrician electric shock death in the garden partnership","negative"
"521","CSU rector elections held on time","negative"
"522","veteran from Chelyabinsk otsudiltysyach for the attack of fighting dogs","negative"
"523","Storm warning in the South Urals extended for night","negative"
"524","settlements were left without electricity because of snowfall","negative"
"525","The Ninth Wave Aivazovsky expose Satka","negative"
"526","intercity buses canceled because of snow in the Chelyabinsk region","negative"
"527","on the snow-covered road under Miass overturned bus service","negative"
"528","elderly fisherman was removed from the ice floe in Chelyabinsk","negative"
"529","because of bad weather in Chelyabinsk cancel public events","negative"
"530","investigators found the suspect in the case of a corpse","negative"
"531","sayteonlayntranslyatsiyu look at the award ceremony of the project with","negative"
"532","because of reports of bomb evacuated school Zlatoust","negative"
"533","the hospital is not able to challenge for remote kompensatsiyumillion shchitovidku","negative"
"534","because of snowfall spassazhirami shuttle bus stuck on the track m","negative"
"535","at the World Judo Championships in Chelyabinsk nabirayutvolonterov","negative"
"536","pensioner sued for transportnikovtysyach legs severed by tram","negative"
"537","Chelyabinsk tram derailed because of bad weather","negative"
"538","Chelyabinsk airport transfers flights because of bad weather","negative"
"539","Two people died in an accident in Korkino during snowfall","negative"
"540","Chelyabinsk Tube estimated at maksimalnyeballov","negative"
"541","m on the track because of a restriction of movement snowfall","negative"
"542","victory with schetommetallurg regained advantage of the ice","negative"
"543","victory with schetommetallurg regained advantage","negative"
"544","CVO best pilots staged aviadarts bombers","negative"
"545","Dubrovsky charged to strengthen the work of the employment of ex-prisoners","negative"
"546","kilograms of marijuana found under concrete slab","negative"
"547","head of the region assigned to strengthen the work of the employment of ex-prisoners","negative"
"548","The weather was not joking","negative"
"549","taxi knocked down a pedestrian in Chelyabinsk","negative"
"550","near Chelyabinsk in frontal crashes with a wagon pogiblicheloveka","negative"
"551","BPC vacant parliamentary mandate handed Andrei Morozov","negative"
"552","eksglavu FMS Chelyabinsk region accused polucheniivzyatok","negative"
"553","spaslidetey fire burning out of the house surrounded by grass","negative"
"554","new head of CSU appointed three vice-chancellors","negative"
"555","Poletaevo residents barricaded the road to the landfill under construction","positive"
"556","MPs BPC extended time gubernatorial elections dochasov","positive"
"557","Emanzhelinsk area residents all night extinguished forest fire buckets","positive"
"558","and you're subscribed to email newsletter","negative"
"559","on Parents' Day will be held in Chelyabinsk bus routes to cemeteries","negative"
"560","military drones help eliminate forest fires in the southern Urals","negative"
"561","Magnitogorsk motorcyclist collided with a car police","negative"
"562","old boy from Chelyabinsk in handcuffs chained feet","negative"
"563","paintings presented artists onkodispanser in Chelyabinsk","positive"
"564","Egypt raised the cost of tourist visas","negative"
"565","Egypt raised the cost of tourist visas","negative"
"566","inspectors have left the driver's body gazelles two days in a cell punished","positive"
"567","clerk fined for separation brothers and sisters in adoption","negative"
"568","tiguan driver goes on trial for the death of the deputy director of the shop in crash","negative"
"569","Chelyabinsk region declared a storm warning because of wind and snow","negative"
"570","woven web of Chelyabinsk at the premiere of the new chelovekapauka","negative"
"571","Drunk chebarkulets mined railway station","negative"
"572","metallurgist captain seriously injured leader rivals","negative"
"573","cameras recorded a motorcyclist crashed in an accident a couple of seconds before the accident","negative"
"574","foreign car knocked down a pedestrian near bus stops","negative"
"575","good morning Chelyabinsk","negative"
"576","personnel administration of the Chelyabinsk check for a holiday in Italy","negative"
